단위: 건,2020,2021,2022,2023,2024
1월,29,44,88,38,18
2월,42,82,143,114,11
3월,171,44,82,229,74
4월,184,94,180,108,67
5월,26,20,115,33,17
6월,38,3,26,11,28
7월,,7,3,,
8월,1,6,,1,7
9월,2,1,11,2,6
10월,35,,24,13,2
11월,46,24,47,25,18
12월,46,24,37,22,31
